#{"t_start": 1628804864.770609, "env_id": "LunarLander-v2"}
r,l,t
-23.985887,67,869.189161
0.904008,151,869.932684
-31.749893,77,870.202003
0.603972,125,870.648434
-77.763852,89,871.018875
-50.616759,245,872.409095
-58.563431,232,873.674297
229.029294,300,875.152974
-41.473701,74,875.446089
-50.430969,75,875.771208
3.154675,154,876.634354
-50.151624,84,877.054212
26.820129,126,877.723477
-59.671104,103,878.130396
1.546132,134,878.716563
-29.096041,99,879.230156
38.463173,147,879.827918
-15.160582,99,880.189624
7.426753,113,880.707024
-88.200024,178,881.611991
-8.827016,109,882.065153
-19.463991,97,882.484681
87.498166,1000,888.446835
-41.151535,84,888.862818
-20.273637,98,889.358802
-19.912096,89,889.809403
-44.208604,166,890.541101
6.464945,165,891.162348
-9.018975,113,891.677465
227.737502,310,893.244978
10.801255,197,894.343911
-50.198852,336,895.996223
4.97405,224,897.039232
-21.663591,165,897.794782
282.428907,403,900.154433
-225.902971,173,901.030981
8.46146,282,902.495204
-193.629656,477,904.928299
-25.232538,149,905.717833
-37.490615,183,906.461153
114.972003,1000,912.921474
220.818382,367,914.585269
-119.466926,473,917.204024
-86.357926,232,918.59753
273.216747,309,920.035908
191.729141,469,922.599177
206.366495,346,924.555954
3.174093,1000,930.784193
-215.156764,1000,937.475827
-151.183417,1000,945.141199
-88.484868,1000,953.058465
185.669514,719,958.068178
-136.96938,1000,964.060214
-73.99549,1000,971.543158
-145.584232,1000,979.710866
-159.17531,942,985.140914
-119.076789,1000,992.012257
-80.110875,1000,998.202935
-89.194324,1000,1003.852675
-111.372564,1000,1010.386614
-136.7534,789,1014.989778
-56.616928,1000,1021.567267
-57.031473,1000,1029.066877
-75.44466,1000,1036.806479
-67.436881,366,1038.718352
177.89402,472,1041.709644
-19.055099,327,1043.392603
-63.16147,455,1045.845453
-80.746191,1000,1052.799636
-113.618622,1000,1059.376491
-29.2088,1000,1068.119565
-145.812319,673,1072.162114
140.096781,595,1075.827851
-77.268421,383,1077.836948
-30.409167,235,1078.968738
-38.844993,265,1080.097447
187.887443,331,1082.157446
195.477827,412,1084.474535
191.035859,456,1087.386348
141.495714,931,1094.317426
-21.391722,1000,1102.460153
-146.678086,1000,1108.835101
192.585738,722,1113.376049
-17.442077,1000,1119.863419
127.251132,894,1125.237985
-33.033345,441,1128.016715
-54.078174,1000,1135.540805
-99.119476,1000,1143.065672
121.235271,771,1148.554896
165.160487,566,1151.405581
182.711583,406,1153.379219
-86.084851,1000,1162.087728
-172.029847,328,1163.509598
-180.802414,568,1166.691273
-99.831489,1000,1173.816157
-38.249033,1000,1180.169586
-185.624176,1000,1187.904099
-56.806693,1000,1194.098379
-85.26086,1000,1202.123681
92.66107,904,1208.935314
101.057075,721,1213.220251
-37.300769,1000,1221.252441
-48.852765,1000,1228.753256
-76.690313,1000,1236.288442
-55.620452,1000,1243.6134
-63.997661,1000,1251.57804
-68.412935,1000,1258.465783
-229.552409,973,1266.003753
-80.648393,1000,1272.455961
41.863559,960,1280.360064
-108.372432,1000,1287.204308
-142.6091,747,1292.236307
78.657218,499,1295.182809
-87.565161,469,1297.503877
-99.489516,569,1301.153545
-98.79374,1000,1308.248803
116.681675,876,1313.490431
-100.324496,1000,1320.6085
-69.607393,1000,1326.961738
-19.16676,1000,1334.321087
-26.536582,1000,1340.280497
-85.631669,1000,1348.361376
-205.477067,798,1353.144488
-188.282913,863,1359.585801
-16.075351,1000,1367.45103
98.845736,894,1373.11687
77.735981,882,1379.273153
-27.963123,1000,1386.984744
-0.562005,1000,1393.896349
100.048119,910,1399.674403
-89.813382,1000,1406.474612
50.981846,812,1412.740909
-28.29331,1000,1419.911508
197.960618,774,1424.416055
-60.05754,1000,1431.935361
-102.359139,678,1436.309479
171.859144,812,1441.121454
-40.086467,1000,1448.7147
-60.060752,1000,1455.114454
-41.931206,1000,1461.63546
-38.929028,1000,1468.552956
-59.896027,1000,1474.404707
-80.915299,437,1476.716687
-72.08244,1000,1484.167617
-61.505896,1000,1490.206687
-30.3612,1000,1496.596328
193.890504,794,1501.792834
198.350446,581,1505.139323
151.269665,758,1510.44664
218.536183,575,1513.565316
171.466235,410,1515.645742
208.539766,594,1519.704673
-33.530897,591,1523.14637
-25.461431,211,1524.003517
-57.738355,616,1527.646898
-20.130903,160,1528.384983
-49.863205,310,1529.791589
125.274247,507,1532.949865
143.095434,596,1536.99935
-97.856725,576,1540.473227
180.923732,829,1545.196332
216.936809,502,1548.011772
-37.169435,122,1548.641513
-14.082284,1000,1556.84193
195.540151,692,1560.940173
177.416297,601,1564.150522
-54.657453,125,1564.827667
225.082236,524,1568.251688
170.753393,280,1569.707426
-62.297159,169,1570.406438
161.457689,934,1577.305063
-93.023563,347,1579.014089
160.162561,851,1584.180945
194.959384,695,1588.601069
115.059277,627,1592.489415
148.113872,975,1598.608626
-58.044578,190,1599.675339
201.901268,819,1605.152216
-34.907139,498,1607.958198
-47.210355,166,1608.828871
-126.201076,433,1611.296212
-100.429807,242,1612.499407
-50.468442,468,1614.811038
-98.029585,371,1616.986409
173.869958,663,1621.168739
-77.533887,1000,1627.082187
-57.727852,320,1628.594809
77.696142,910,1634.373725
-118.432041,490,1637.255326
-97.946063,749,1642.054156
104.80851,598,1645.865927
-123.306129,642,1649.855015
-46.98278,211,1650.890028
-96.277151,590,1654.304368
105.122715,792,1659.098729
-63.679994,1000,1666.286786
-135.839974,745,1671.162495
-108.893722,459,1673.474123
-50.66536,1000,1679.321238
88.081066,955,1686.276967
-66.947353,1000,1693.249483
-62.211431,280,1694.536417
-37.777107,268,1695.890044
-138.778727,475,1698.745272
93.203475,775,1703.637258
-46.028682,281,1705.126653
-108.905314,373,1706.99052
138.73527,510,1710.251962
-118.416883,507,1713.442109
-67.37276,724,1717.749165
-53.696629,1000,1724.870219
-118.653854,556,1727.988479
-43.03037,1000,1734.751821
-124.561202,727,1739.899065
-68.658383,195,1740.655857
-64.482115,342,1742.472872
-90.022814,631,1746.172585
61.63241,601,1749.51782
106.70345,865,1756.416695
-7.418261,1000,1765.462908
-89.308478,1000,1771.93317
-60.957676,433,1774.34313
144.261927,963,1781.429329
-46.178336,520,1784.216912
143.593542,695,1789.173665
210.568471,664,1793.135344
184.349347,552,1796.351718
-44.875658,207,1797.178362
91.505527,484,1800.243437
134.893548,677,1804.771087
100.56118,980,1811.426239
118.296141,900,1817.59083
170.421083,466,1820.62202
-39.151278,338,1822.325696
