#{"t_start": 1628797123.813883, "env_id": "LunarLander-v2"}
r,l,t
-77.568747,1000,390.152014
-98.948886,1000,394.548459
-150.117827,1000,398.792712
-156.582091,1000,404.296982
-117.324891,1000,408.749985
-101.386008,1000,413.568529
-125.193218,1000,417.937046
-101.550452,1000,422.950024
-88.997889,1000,426.404073
-93.253173,1000,429.653141
-47.347124,1000,433.336836
-88.350678,1000,439.078764
-84.725329,1000,442.544387
-133.252087,1000,447.393018
-84.063945,1000,451.279485
-109.137398,1000,455.735964
-98.288467,1000,459.602347
-31.66887,1000,464.051462
-117.724423,1000,467.981245
-45.836377,1000,473.462757
-139.109152,1000,477.893627
-75.441772,1000,481.487779
-153.955302,1000,485.602746
-102.143478,1000,490.428628
-139.329229,1000,494.038634
-124.858998,1000,497.925296
-126.524636,1000,502.052302
-150.619133,1000,506.364431
-132.998487,1000,511.366835
-149.797479,1000,515.683929
-148.368782,1000,519.561919
-79.07109,1000,524.785557
-76.23047,1000,529.254616
-93.896867,1000,533.137892
-135.427099,1000,536.880494
-142.062135,1000,541.12467
-152.233996,1000,545.442599
